HomeOdds,DrawOdds,AwayOdds,Winner,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,HTGD,ATGD,DiffFormPts,DiffLP
2.0,3.2,3.75,1,1.5,0.928571428571,W,W,D,L,L,L,6.0,15.0,0.357142857143,-0.28571428571400004,0.714285714286,-9.0
7.0,3.6,1.53,-1,0.666666666667,1.6,D,L,D,W,W,D,18.0,3.0,-0.8,0.4,-0.533333333333,15.0
2.0,3.2,3.75,0,0.733333333333,0.8,L,W,D,L,L,D,12.0,18.0,-0.4,-0.4,-0.06666666666669999,-6.0
1.83,3.25,4.5,0,0.8571428571430001,0.5714285714289999,L,W,L,L,D,D,10.0,18.0,-0.214285714286,-0.8571428571430001,0.14285714285700002,-8.0
1.61,3.4,6.0,-1,1.53333333333,1.2,D,L,D,W,L,L,8.0,13.0,0.266666666667,-0.133333333333,0.133333333333,-5.0
6.5,3.5,1.57,-1,1.2,2.2,L,W,W,D,W,W,7.0,2.0,-0.4,1.13333333333,-0.466666666667,5.0
1.9,3.3,4.0,-1,0.933333333333,0.666666666667,L,L,W,D,D,D,9.0,15.0,-0.533333333333,-1.0,0.133333333333,-6.0
2.3,3.25,3.0,1,1.13333333333,1.6,W,D,D,W,W,W,16.0,6.0,0.2,0.4,-0.466666666667,10.0
3.4,3.25,2.1,1,1.53333333333,2.06666666667,W,L,W,D,W,D,4.0,1.0,0.466666666667,1.33333333333,0.06666666666669999,3.0
1.83,3.25,4.5,0,1.2666666666700002,1.93333333333,W,L,L,W,W,L,5.0,17.0,0.0,0.333333333333,-0.266666666667,-12.0
2.5,3.1,2.8,1,0.8666666666670001,1.66666666667,L,L,L,W,W,D,15.0,11.0,-0.333333333333,0.533333333333,-0.733333333333,4.0
2.5,3.1,2.8,0,2.0,2.29411764706,W,L,D,W,W,D,1.0,2.0,1.29411764706,1.47058823529,-0.294117647059,-1.0
2.0,3.1,4.0,-1,1.47058823529,0.8235294117649999,D,L,W,L,D,D,6.0,10.0,0.235294117647,-0.35294117647100004,0.294117647059,-4.0
6.5,3.5,1.57,0,1.0,1.76470588235,W,L,L,W,W,W,9.0,3.0,-0.529411764706,0.705882352941,-0.411764705882,6.0
1.44,4.0,7.5,0,1.41176470588,1.29411764706,L,D,W,D,W,W,4.0,13.0,0.35294117647100004,-0.0588235294118,0.0,-9.0
1.8,3.1,5.0,1,0.944444444444,0.555555555556,W,L,D,L,L,L,10.0,18.0,-0.277777777778,-0.944444444444,0.222222222222,-8.0
2.75,3.2,2.5,0,0.777777777778,2.0,D,L,W,W,W,D,15.0,17.0,-0.777777777778,0.388888888889,-0.388888888889,-2.0
2.2,3.2,3.25,-1,1.27777777778,1.11111111111,L,L,L,L,L,W,8.0,16.0,0.0555555555556,0.166666666667,-0.333333333333,-8.0
1.16,6.5,15.0,1,2.22222222222,0.833333333333,D,W,W,W,L,D,2.0,18.0,1.38888888889,-0.611111111111,0.222222222222,-16.0
1.22,5.5,13.0,1,1.72222222222,0.777777777778,D,W,W,D,L,D,3.0,18.0,0.666666666667,-0.388888888889,0.611111111111,-15.0
1.9,3.1,4.33,1,1.61111111111,1.38888888889,D,W,L,L,D,L,11.0,6.0,0.388888888889,0.166666666667,0.166666666667,5.0
1.72,3.4,5.0,1,1.22222222222,0.722222222222,W,W,W,D,L,D,15.0,12.0,-0.0555555555556,-0.5,0.222222222222,3.0
1.9,3.1,4.33,1,1.38888888889,1.16666666667,D,L,D,D,L,D,4.0,5.0,0.333333333333,-0.222222222222,0.0,-1.0
6.5,3.5,1.57,-1,1.27777777778,1.94444444444,D,D,W,D,W,L,13.0,1.0,-0.0555555555556,1.22222222222,0.0,12.0
2.0,3.2,3.75,1,1.33333333333,1.0,W,W,L,D,W,L,7.0,9.0,-0.444444444444,-0.5,0.277777777778,-2.0
5.5,3.4,1.66,-1,0.526315789474,1.47368421053,L,L,L,W,D,L,18.0,4.0,-1.1052631578899998,0.421052631579,-0.368421052632,14.0
2.6,3.25,2.6,0,0.6842105263160001,1.4210526315799998,L,D,L,W,W,W,12.0,7.0,-0.6842105263160001,-0.368421052632,-0.368421052632,5.0
3.0,3.25,2.3,-1,0.7894736842110001,1.3157894736799998,L,W,L,W,W,W,18.0,15.0,-0.7894736842110001,0.157894736842,-0.263157894737,3.0
2.6,3.25,2.6,0,0.7894736842110001,1.1052631578899998,D,D,L,L,D,L,15.0,5.0,-0.736842105263,-0.315789473684,0.0526315789474,10.0
1.9,3.25,4.0,1,1.94736842105,1.21052631579,D,W,W,W,L,L,17.0,16.0,0.368421052632,0.210526315789,0.105263157895,1.0
2.5,3.2,2.75,-1,0.736842105263,1.21052631579,L,D,L,L,D,D,18.0,13.0,-0.526315789474,-0.105263157895,-0.315789473684,5.0
1.3,4.5,12.0,1,2.26315789474,1.3157894736799998,W,D,W,L,L,D,2.0,6.0,1.52631578947,0.0,0.368421052632,-4.0
2.62,3.2,2.62,1,1.05263157895,1.68421052632,W,W,L,W,D,W,10.0,11.0,-0.0526315789474,0.526315789474,-0.105263157895,-1.0
1.25,5.0,13.0,1,2.0,0.947368421053,W,D,W,L,D,W,1.0,9.0,1.21052631579,-0.526315789474,0.210526315789,-8.0
1.28,5.0,10.0,1,1.7894736842099996,1.21052631579,W,D,W,L,L,L,3.0,8.0,0.7894736842110001,0.0,0.631578947368,-5.0
6.5,3.75,1.53,-1,1.3,2.3,W,L,D,W,W,D,13.0,2.0,-0.05,1.5,-0.25,11.0
1.5,3.75,7.0,1,1.6,0.75,L,W,D,L,L,W,11.0,18.0,0.4,-0.85,0.15,-7.0
1.57,3.5,6.5,0,1.4,0.7,W,W,W,L,L,D,15.0,18.0,0.25,-0.55,0.65,-3.0
1.36,4.33,9.0,1,1.55,0.7,W,W,D,D,L,D,4.0,12.0,0.65,-0.65,0.25,-8.0
2.0,3.2,3.75,-1,1.15,0.8,L,L,L,D,D,D,8.0,15.0,-0.1,-0.7,-0.3,-7.0
4.75,3.5,1.72,-1,1.25,1.85,L,L,L,W,W,D,6.0,3.0,-0.05,0.85,-0.6,3.0
2.62,3.2,2.6,1,1.4,2.0,D,W,W,W,D,W,7.0,17.0,-0.35,0.4,-0.05,-10.0
1.53,3.75,6.5,0,1.15,0.5,L,W,L,L,L,L,16.0,18.0,0.15,-1.3,0.3,-2.0
2.37,3.2,2.9,-1,0.9,1.15,L,L,D,W,W,W,9.0,10.0,-0.6,0.05,-0.3,-1.0
3.75,3.5,1.9,-1,1.1,2.05,D,L,D,W,W,D,5.0,1.0,-0.3,1.25,-0.35,4.0
1.66,3.4,5.5,0,1.0952380952399998,0.52380952381,L,L,L,D,L,L,8.0,18.0,-0.14285714285700002,-1.2380952381,-0.047619047619,-10.0
1.9,3.1,4.33,1,1.19047619048,0.904761904762,L,L,L,W,D,D,6.0,15.0,-0.0952380952381,-0.619047619048,-0.238095238095,-9.0
1.66,3.4,5.5,0,1.2380952381,0.714285714286,L,W,L,L,L,L,13.0,18.0,-0.14285714285700002,-0.904761904762,0.0952380952381,-5.0
1.9,3.1,4.33,1,1.04761904762,1.2380952381,L,D,L,W,W,W,5.0,10.0,-0.333333333333,0.0952380952381,-0.4761904761899999,-5.0
2.25,3.2,3.1,1,1.38095238095,1.90476190476,D,W,W,L,W,D,15.0,17.0,0.238095238095,0.28571428571400004,0.14285714285700002,-2.0
1.72,3.4,5.0,1,1.14285714286,0.666666666667,D,L,W,L,D,L,16.0,12.0,0.14285714285700002,-0.666666666667,0.0952380952381,4.0
3.1,3.2,2.25,-1,1.61904761905,2.33333333333,W,W,W,W,W,W,4.0,2.0,0.666666666667,1.52380952381,-0.14285714285700002,2.0
2.0,3.2,3.75,1,0.8571428571430001,0.714285714286,L,L,L,D,L,L,9.0,18.0,-0.619047619048,-0.52380952381,0.0952380952381,-9.0
6.0,3.4,1.61,-1,1.47619047619,2.09523809524,W,D,W,W,W,W,7.0,1.0,-0.238095238095,1.2380952381,0.0,6.0
3.5,3.2,2.1,-1,1.66666666667,1.90476190476,W,L,W,W,W,W,11.0,3.0,0.4761904761899999,0.8571428571430001,-0.14285714285700002,8.0
6.5,3.5,1.57,1,1.1739130434799998,2.0869565217400003,W,D,L,D,W,W,8.0,1.0,-0.08695652173910001,1.21739130435,-0.391304347826,7.0
1.72,3.4,5.0,1,1.21739130435,0.6956521739129999,L,W,L,L,D,L,6.0,18.0,-0.130434782609,-0.8695652173909999,0.08695652173910001,-12.0
2.2,3.1,3.4,1,1.34782608696,1.13043478261,L,L,W,L,L,W,7.0,10.0,-0.347826086957,0.0,-0.08695652173910001,-3.0
2.62,3.2,2.6,-1,1.60869565217,1.91304347826,W,L,W,D,W,W,4.0,3.0,0.608695652174,0.8695652173909999,-0.0434782608696,1.0
1.72,3.4,5.0,1,1.21739130435,0.782608695652,D,W,D,W,L,D,16.0,18.0,0.17391304347800002,-0.478260869565,0.17391304347800002,-2.0
1.57,3.5,6.5,1,1.13043478261,0.652173913043,D,W,L,D,L,L,5.0,12.0,-0.260869565217,-0.652173913043,0.130434782609,-7.0
4.5,3.25,1.83,-1,1.4347826087,2.39130434783,D,W,D,W,W,W,15.0,2.0,0.347826086957,1.52173913043,-0.17391304347800002,13.0
2.2,3.1,3.4,-1,1.1739130434799998,0.9565217391299998,L,D,L,W,L,W,13.0,15.0,-0.17391304347800002,-0.5652173913040001,-0.17391304347800002,-2.0
2.2,3.1,3.4,0,1.52173913043,1.86956521739,L,L,W,W,L,L,11.0,17.0,0.260869565217,0.17391304347800002,-0.0434782608696,-6.0
1.8,3.1,5.0,1,0.9565217391299998,0.5652173913040001,D,W,L,D,D,D,9.0,18.0,-0.478260869565,-1.13043478261,0.0434782608696,-9.0
1.2,6.0,13.0,1,2.41666666667,1.125,W,W,W,L,L,D,2.0,13.0,1.54166666667,-0.208333333333,0.458333333333,-11.0
3.1,3.2,2.25,1,0.75,1.375,L,W,L,L,D,W,18.0,15.0,-0.541666666667,0.25,-0.166666666667,3.0
1.33,4.5,9.5,1,1.95833333333,1.29166666667,W,D,W,W,L,W,3.0,6.0,0.875,0.0,0.29166666666700003,-3.0
1.83,3.3,4.33,-1,1.83333333333,1.41666666667,D,W,L,W,L,L,17.0,7.0,0.166666666667,-0.25,0.0,10.0
1.9,3.1,4.33,-1,1.08333333333,1.04166666667,L,L,L,W,D,W,10.0,9.0,-0.08333333333330001,-0.416666666667,-0.0416666666667,1.0
3.1,3.2,2.25,0,0.666666666667,1.5,L,L,D,D,L,L,18.0,11.0,-0.958333333333,0.25,-0.125,7.0
3.0,3.25,2.3,1,0.541666666667,1.29166666667,L,D,D,W,D,W,18.0,16.0,-1.125,0.25,-0.208333333333,2.0
4.5,3.25,1.83,1,0.625,1.54166666667,L,D,L,L,W,L,12.0,4.0,-0.666666666667,0.541666666667,-0.29166666666700003,8.0
1.44,4.0,7.5,1,2.0,1.20833333333,L,D,W,W,D,W,1.0,5.0,1.125,-0.208333333333,0.08333333333330001,-4.0
2.3,3.1,3.1,-1,1.04166666667,1.25,W,W,L,W,W,D,15.0,8.0,-0.5,-0.0416666666667,0.125,7.0
1.9,3.1,4.33,1,1.04,0.72,L,L,L,W,L,D,10.0,12.0,-0.12,-0.56,-0.04,-2.0
